item_id,name,width_cm,depth_cm,height_cm,mass_kg,priority,expiry_date,usage_limit,preferred_zone
121,Battery_Pack,25.7,46.1,19.5,11.55,77,,562,External_Storage
122,Oxygen_Cylinder,16.8,15.9,62.2,17.4,18,,3209,Crew_Quarters
123,Protein_Bars,10.7,24.1,47.5,6.12,3,,2970,Crew_Quarters
124,Communication_Device,35.4,18.8,47.0,15.64,9,,3869,Crew_Quarters
125,Tool_Kit,10.2,24.2,29.4,4.7,26,,61,Maintenance_Bay
126,Handheld_Spectrometer,28.1,26.0,48.8,17.83,83,,1671,Engineering_Bay
127,Communication_Device,29.2,11.6,26.9,4.56,32,,1630,Crew_Quarters
128,Laptop,15.5,25.7,15.9,3.17,37,,821,Crew_Quarters
129,Medical_Scanner,17.0,11.2,24.2,2.3,42,2026-12-15,33,Medical_Bay
130,Research_Samples,24.6,28.2,17.4,5.3,57,,1382,Storage_Bay
131,Radiation_Shield,37.0,19.7,26.0,9.48,52,,3463,Engineering_Bay
132,Protein_Bars,38.2,26.2,15.5,7.76,6,,2335,Storage_Bay
133,Microgravity_Lab_Kit,14.6,20.0,26.2,3.5,31,,37,Crew_Quarters
134,Thruster_Fuel,33.3,12.8,17.9,3.81,35,,3815,Storage_Bay
135,EV_Suit_Battery,34.0,22.8,45.8,17.75,93,,757,Storage_Bay
136,Oxygen_Cylinder,20.9,25.1,75.5,19.3,67,,1225,Medical_Bay
137,Radiation_Shield,49.7,26.4,46.8,30.7,69,,583,Storage_Bay
138,Emergency_Oxygen_Mask,40.9,40.7,11.4,9.49,24,,4284,Medical_Bay
139,Space_Suit,44.8,32.3,49.7,35.96,56,,194,Airlock
140,Asteroid_Sample_Container,28.6,23.6,29.1,9.5,77,,4283,Storage_Bay
141,Tool_Kit,20.9,23.6,22.2,1.2,92,,65,Storage_Bay
142,Battery_Pack,26.6,45.4,18.7,11.29,82,,115,External_Storage
143,Fire_Extinguisher,48.2,12.4,35.0,10.46,73,,4066,Crew_Quarters
144,Water_Purification_Unit,23.8,26.9,25.3,8.1,63,,3365,Life_Support
145,Medical_Scanner,29.6,36.7,23.4,12.71,83,2026-10-29,6,Lab
146,Lab_Microscope,33.3,14.4,46.5,11.15,98,,4066,Lab
147,Food_Packet,28.1,29.2,20.9,1.2,10,2026-12-04,30,Storage_Bay
148,Waste_Management_Kit,29.9,16.2,14.7,2.5,55,,71,Sanitation_Bay
149,CO2_Scrubber,16.2,38.2,26.0,8.04,10,,714,Engineering_Bay
150,Seed_Packets,15.6,20.5,16.6,1.1,93,,59,Lab
151,Seed_Packets,21.9,27.6,29.2,9.1,5,,5,Greenhouse
152,Research_Samples,12.3,26.6,28.0,4.4,95,,2387,Storage_Bay
153,Waste_Management_Kit,25.4,19.8,16.5,1.7,80,,65,Sanitation_Bay
154,Antibiotic_Supply,42.4,26.7,27.7,15.68,54,2027-01-29,3426,Lab
155,LED_Work_Light,19.4,41.3,34.6,13.86,60,,1416,Maintenance_Bay
156,Battery_Pack,31.6,13.4,11.8,2.5,98,,866,External_Storage
157,Radiation_Shield,18.5,44.8,25.6,10.61,18,,4939,Storage_Bay
158,Laptop,17.4,33.0,36.4,10.45,90,,2831,Crew_Quarters
159,Gyroscope_Module,34.1,26.1,22.2,9.88,88,,4915,Engineering_Bay
160,LED_Work_Light,40.7,45.3,17.0,15.67,1,,2458,Engineering_Bay
161,Space_Suit,48.5,19.9,24.5,11.82,64,,4460,Airlock
162,Navigation_Module,14.4,11.3,10.9,0.89,76,,3919,Cockpit
163,EV_Suit_Battery,31.7,19.7,15.9,4.96,85,,567,Airlock
164,Handheld_Spectrometer,26.3,30.3,33.9,13.51,26,,4528,Lab
165,Oxygen_Cylinder,17.8,29.9,70.2,28.8,96,,3389,Crew_Quarters
166,Cooling_System,45.6,31.7,31.0,22.41,53,,4235,Power_Bay
167,Thruster_Fuel,20.3,37.9,13.7,5.27,65,,4280,Engine_Bay
168,Emergency_Beacon,24.0,43.7,49.1,25.75,79,,4834,Cockpit
169,Microgravity_Lab_Kit,19.4,18.5,12.4,2.5,54,,2,Lab
170,First_Aid_Kit,27.4,29.8,16.6,4.5,68,,94,Crew_Quarters
171,Cooling_System,46.5,32.9,32.0,24.48,9,,3429,Engineering_Bay
172,Solar_Panel,66.3,94.3,2.4,8.8,18,,1708,Power_Bay
173,EV_Suit_Battery,24.9,13.9,49.1,8.5,56,,451,Airlock
174,Seed_Packets,17.9,22.9,17.4,2.0,13,,86,Lab
175,Navigation_Module,24.8,36.0,39.5,17.63,32,,4672,Command_Center
176,Solar_Panel,57.4,70.5,1.3,19.6,35,,1585,Power_Bay
177,Navigation_Module,16.6,39.5,47.1,15.44,91,,4696,Cockpit
178,Seed_Packets,24.8,26.0,27.8,7.4,9,,16,Greenhouse
179,Antibiotic_Supply,18.2,24.8,17.2,3.88,37,2026-08-12,450,Medical_Bay
180,Protein_Bars,47.6,23.6,43.7,24.55,41,,4640,Storage_Bay
181,Handheld_Spectrometer,14.5,33.5,37.4,9.08,52,,334,Lab
182,Antibiotic_Supply,30.5,17.4,18.3,4.86,25,2026-03-11,2837,Lab
183,Battery_Pack,30.0,15.4,47.4,10.95,100,,134,External_Storage
184,Solar_Panel,67.7,82.8,4.8,9.5,76,,1252,External_Storage
185,Emergency_Oxygen_Mask,49.5,34.3,26.6,22.58,99,,4605,Crew_Quarters
186,Food_Packet,10.3,11.9,19.3,4.2,91,2025-07-02,100,Storage_Bay
187,First_Aid_Kit,21.5,13.5,25.7,6.5,61,,96,Crew_Quarters
188,Research_Samples,28.8,26.1,12.8,2.3,91,,1471,Storage_Bay
189,Water_Bottle,25.8,35.8,20.6,9.51,90,,3388,Storage_Bay
190,Cooling_System,28.0,49.3,49.8,34.37,57,,2015,Power_Bay
191,Pressure_Regulator,31.0,45.9,38.7,27.53,65,,3344,Airlock
192,Waste_Management_Kit,22.5,19.4,22.7,4.1,95,,99,Engineering_Bay
193,Lab_Microscope,41.7,31.9,39.4,26.21,8,,3448,Medical_Bay
194,Waste_Management_Kit,20.0,27.5,26.6,8.7,82,,81,Engineering_Bay
195,Antibiotic_Supply,17.2,48.7,17.3,7.25,51,2027-01-16,2520,Lab
196,Water_Bottle,19.9,33.4,30.3,10.07,13,,766,Storage_Bay
197,Communication_Device,22.1,41.2,41.1,18.71,95,,3981,Crew_Quarters
198,Battery_Pack,49.3,33.9,48.6,40.61,94,,787,Power_Bay
199,Battery_Pack,10.6,46.6,17.1,4.22,59,,845,Power_Bay
200,CO2_Scrubber,30.5,24.4,27.4,10.2,87,,678,Engineering_Bay
201,Thruster_Fuel,21.8,43.7,45.6,21.72,77,,4665,Storage_Bay
202,Gyroscope_Module,21.6,10.8,46.7,5.45,94,,4466,Cockpit
203,Antibiotic_Supply,16.4,29.1,49.8,11.88,9,2026-12-14,4397,Lab
204,Asteroid_Sample_Container,16.5,20.1,26.6,6.6,70,,1097,Lab
205,Medical_Scanner,29.7,38.6,47.1,27.0,55,2026-07-29,77,Medical_Bay
206,Cooling_System,17.9,40.7,47.3,17.23,2,,600,Engineering_Bay
207,Water_Bottle,24.8,16.9,17.4,3.65,17,,3383,Crew_Quarters
208,Vacuum_Sealed_Tools,23.0,35.8,14.7,6.05,26,,3684,Maintenance_Bay
209,Gyroscope_Module,40.5,23.5,16.0,7.61,88,,1296,Engineering_Bay
210,Lab_Microscope,10.3,21.5,14.9,1.65,100,,820,Lab
211,Communication_Device,30.8,47.0,27.8,20.12,91,,1108,Command_Center
212,Helmet_Visor,19.3,32.6,29.8,9.37,11,,2123,Crew_Quarters
213,Water_Purification_Unit,44.6,21.4,27.5,13.12,48,,2952,Life_Support
214,EV_Suit_Battery,27.6,26.0,15.1,5.42,98,,260,Storage_Bay
215,LED_Work_Light,26.7,44.2,32.1,18.94,96,,2803,Maintenance_Bay
216,Radiation_Shield,36.5,42.3,47.1,36.36,4,,3786,Storage_Bay
217,Vacuum_Sealed_Tools,35.6,19.2,46.9,16.03,4,,841,Storage_Bay
218,Handheld_Spectrometer,17.8,24.7,46.3,10.18,20,,91,Lab
219,Antibiotic_Supply,46.5,23.6,30.7,16.85,100,2025-07-31,31,Lab
220,EV_Suit_Battery,16.3,28.1,18.3,4.19,85,,795,Storage_Bay
221,Navigation_Module,43.6,46.0,23.8,23.87,70,,4576,Command_Center
222,Emergency_Oxygen_Mask,47.9,11.1,46.8,12.44,62,,728,Medical_Bay
223,Pressure_Regulator,37.8,25.1,10.3,4.89,98,,1848,Engineering_Bay
224,Oxygen_Cylinder,21.3,27.5,48.5,44.7,90,,3781,Medical_Bay
225,Battery_Pack,12.2,38.3,41.0,9.58,5,,180,Power_Bay
226,Vacuum_Sealed_Tools,43.0,18.4,12.0,4.75,74,,750,Maintenance_Bay
227,Oxygen_Cylinder,17.1,17.1,78.1,34.2,11,,2501,Medical_Bay
228,EV_Suit_Battery,33.0,16.5,32.1,8.74,60,,332,Storage_Bay
229,Tether_Reel,20.6,16.0,46.0,7.58,82,,3874,Airlock
230,Space_Suit,45.8,29.7,15.1,10.27,5,,4639,Storage_Bay
231,Cooling_System,13.5,44.3,17.2,5.14,11,,3588,Engineering_Bay
232,Navigation_Module,30.5,24.1,14.1,5.18,85,,4707,Command_Center
233,Pressure_Regulator,48.3,17.3,47.2,19.72,60,,4719,Airlock
234,Helmet_Visor,32.7,41.2,39.9,26.88,19,,4081,Crew_Quarters
235,Handheld_Spectrometer,18.6,40.8,10.6,4.02,15,,3790,Engineering_Bay
236,Scientific_Sensor,11.2,32.7,35.6,6.52,59,,3153,Lab
237,Radiation_Shield,33.4,49.2,41.8,34.34,59,,3467,Engineering_Bay
238,Protein_Bars,21.9,40.7,31.4,13.99,39,,638,Storage_Bay
239,Lab_Microscope,13.4,16.9,38.3,4.34,39,,566,Lab
240,Circuit_Board,33.8,21.0,31.6,11.21,6,,243,Engineering_Bay
241,Asteroid_Sample_Container,18.0,28.9,26.7,8.6,97,,942,Lab
242,Gyroscope_Module,12.9,44.7,44.4,12.8,72,,3947,Engineering_Bay
243,Tether_Reel,26.1,43.4,25.3,14.33,56,,1508,Airlock
244,Seed_Packets,17.1,14.2,27.1,6.4,90,,77,Lab
245,Medical_Scanner,37.0,21.4,24.0,9.5,67,2025-12-01,10,Lab
246,Protein_Bars,15.1,19.4,37.4,5.48,12,,3442,Crew_Quarters
247,Fire_Extinguisher,19.6,43.1,16.5,6.97,15,,2531,Crew_Quarters
248,Handheld_Spectrometer,28.1,39.1,29.6,16.26,20,,213,Engineering_Bay
249,CO2_Scrubber,24.6,24.2,23.6,7.02,64,,971,Life_Support
250,Circuit_Board,45.6,26.3,12.3,7.38,75,,4327,Engineering_Bay
251,Oxygen_Cylinder,27.7,22.8,43.5,23.9,61,,339,Airlock
252,Circuit_Board,49.7,48.8,13.4,16.25,78,,2355,Storage_Bay
253,Radiation_Shield,18.3,47.0,11.4,4.9,71,,597,Engineering_Bay
254,Tether_Reel,47.4,33.5,45.1,35.81,21,,1015,Airlock
255,3D_Printer,46.3,38.6,24.1,21.54,86,,4238,Engineering_Bay
256,Medical_Scanner,19.8,45.8,23.5,10.66,2,2026-08-26,88,Lab
257,Communication_Device,30.3,26.5,48.9,19.63,39,,2038,Crew_Quarters
258,Fire_Extinguisher,45.3,19.1,13.9,6.01,8,,4945,Engineering_Bay
259,3D_Printer,22.5,29.6,26.6,8.86,95,,109,Lab
260,Pressure_Regulator,36.9,36.9,42.7,29.07,70,,3388,Engineering_Bay
261,Antibiotic_Supply,45.7,14.6,39.5,13.18,14,2026-08-14,1088,Medical_Bay
262,Protein_Bars,36.9,37.4,36.1,24.91,65,,1534,Crew_Quarters
263,Microgravity_Lab_Kit,23.1,28.4,28.8,1.5,29,,79,Lab
264,Lab_Microscope,18.9,36.6,41.4,14.32,85,,4308,Lab
265,3D_Printer,28.4,21.6,39.8,12.21,52,,758,Engineering_Bay
266,Tool_Kit,13.1,25.3,14.6,1.2,27,,42,Storage_Bay
267,Tool_Kit,22.6,16.7,11.6,8.0,81,,59,Storage_Bay
268,Protein_Bars,39.0,16.5,29.7,9.56,43,,316,Crew_Quarters
269,Seed_Packets,24.2,13.2,11.1,6.4,40,,49,Lab
270,Communication_Device,17.4,26.1,31.5,7.15,17,,2378,Command_Center
271,Microgravity_Lab_Kit,27.5,21.5,29.3,8.4,65,,71,Crew_Quarters
272,Food_Packet,25.8,20.3,26.0,2.5,7,2027-03-01,88,Storage_Bay
273,Gyroscope_Module,42.2,37.0,23.9,18.66,52,,1310,Cockpit
274,Research_Samples,27.7,27.3,28.5,1.7,73,,362,Lab
275,Tether_Reel,26.3,20.7,48.5,13.2,31,,216,Airlock
276,Emergency_Beacon,14.1,36.5,49.4,12.71,54,,2228,Command_Center
277,Protein_Bars,41.8,46.7,27.1,26.45,46,,2711,Storage_Bay
278,Scientific_Sensor,26.6,20.5,40.5,11.04,100,,919,Lab
279,Oxygen_Cylinder,26.7,16.5,43.9,35.8,60,,3369,Crew_Quarters
280,Communication_Device,44.9,30.1,13.7,9.26,51,,2660,Crew_Quarters
281,Emergency_Oxygen_Mask,46.7,10.9,18.1,4.61,72,,1049,Medical_Bay
282,Communication_Device,41.0,35.7,11.7,8.56,83,,4625,Crew_Quarters
283,Battery_Pack,17.7,18.2,30.6,4.93,32,,689,External_Storage
284,Emergency_Oxygen_Mask,15.9,41.4,28.9,9.51,20,,2949,Medical_Bay
285,Helmet_Visor,26.9,49.2,39.4,26.07,81,,661,Crew_Quarters
286,Food_Packet,28.7,20.0,14.6,6.2,84,2025-08-16,92,Crew_Quarters
287,Food_Packet,19.6,16.2,28.8,2.1,94,2025-11-18,31,Storage_Bay
288,Emergency_Beacon,40.3,24.7,32.9,16.37,39,,3513,Cockpit
289,CO2_Scrubber,32.9,43.2,34.9,24.8,19,,412,Engineering_Bay
290,Microgravity_Lab_Kit,28.4,22.3,25.3,7.4,50,,16,Lab
291,Lab_Microscope,13.9,38.8,34.7,9.36,96,,3709,Medical_Bay
292,Fire_Extinguisher,23.8,11.2,31.8,4.24,22,,3181,Engineering_Bay
293,Antibiotic_Supply,35.4,33.3,16.0,9.43,38,2026-06-04,3956,Lab
294,Medical_Scanner,19.7,25.4,26.6,6.66,41,2026-05-20,11,Medical_Bay
295,Space_Suit,32.0,45.5,29.7,21.62,33,,1018,Storage_Bay
296,Water_Purification_Unit,11.9,38.3,18.0,4.1,4,,1162,Crew_Quarters
297,Laptop,27.0,21.8,45.3,13.33,11,,2675,Command_Center
298,Fire_Extinguisher,45.4,12.1,31.5,8.65,14,,2375,Crew_Quarters
299,Tether_Reel,34.8,34.2,43.0,25.59,60,,484,Airlock
300,First_Aid_Kit,14.4,13.8,23.4,1.2,41,,36,Medical_Bay
301,Cooling_System,37.8,35.1,47.9,31.78,51,,4002,Engineering_Bay
302,Gyroscope_Module,31.7,43.5,16.6,11.45,13,,3669,Cockpit
303,CO2_Scrubber,48.6,43.9,41.9,44.7,19,,705,Life_Support
304,Scientific_Sensor,19.0,32.6,30.7,9.51,47,,4489,Lab
305,Asteroid_Sample_Container,28.1,28.5,19.9,9.8,22,,341,Storage_Bay
306,Laptop,26.7,49.6,22.1,14.63,45,,1044,Crew_Quarters
307,Circuit_Board,36.4,13.8,46.4,11.65,5,,4348,Engineering_Bay
308,Radiation_Shield,32.7,18.9,30.0,9.27,73,,1388,Storage_Bay
309,LED_Work_Light,48.7,20.6,16.5,8.28,79,,4946,Maintenance_Bay
310,Tether_Reel,23.9,25.6,13.6,4.16,33,,4797,External_Storage
311,Emergency_Oxygen_Mask,21.3,35.2,34.8,13.05,49,,906,Medical_Bay
312,Tool_Kit,27.3,16.4,25.9,8.3,48,,20,Maintenance_Bay
313,Pressure_Regulator,10.6,47.2,14.4,3.6,93,,3775,Engineering_Bay
314,Tool_Kit,15.3,16.3,29.0,8.0,82,,57,Storage_Bay
315,Emergency_Oxygen_Mask,44.9,41.5,20.6,19.19,30,,2452,Medical_Bay
316,Gyroscope_Module,30.5,45.3,13.5,9.33,34,,4936,Engineering_Bay
317,Tool_Kit,17.2,25.3,25.8,5.7,35,,46,Storage_Bay
318,Asteroid_Sample_Container,17.1,22.1,29.8,1.2,8,,2218,Storage_Bay
319,Battery_Pack,44.3,48.8,40.8,44.1,24,,174,External_Storage
320,Communication_Device,15.8,23.5,48.6,9.02,56,,1812,Crew_Quarters
321,Radiation_Shield,22.7,32.3,27.5,10.08,14,,4313,Engineering_Bay
322,Solar_Panel,65.1,59.1,1.3,12.3,86,,878,Power_Bay
323,Cooling_System,43.0,43.6,31.6,29.62,48,,922,Power_Bay
324,Helmet_Visor,44.1,49.8,31.4,34.48,6,,377,Crew_Quarters
325,Fire_Extinguisher,13.4,36.8,33.0,8.14,22,,4920,Crew_Quarters
326,Antibiotic_Supply,11.7,19.7,18.0,2.07,98,2026-06-04,4436,Medical_Bay
327,Research_Samples,26.0,18.5,10.9,1.1,5,,1016,Lab
328,Food_Packet,13.8,21.1,19.0,4.9,76,2026-08-03,23,Crew_Quarters
329,Handheld_Spectrometer,18.4,40.0,42.5,15.64,75,,3090,Lab
330,Asteroid_Sample_Container,26.3,20.3,16.5,1.5,73,,3829,Storage_Bay
331,Navigation_Module,12.9,13.9,18.1,1.62,31,,872,Cockpit
332,Water_Purification_Unit,22.2,25.3,12.9,3.62,24,,1700,Crew_Quarters
333,Water_Purification_Unit,32.9,20.9,17.5,6.02,90,,1076,Crew_Quarters
334,First_Aid_Kit,18.0,26.9,21.2,7.5,23,,82,Medical_Bay
335,EV_Suit_Battery,42.7,10.4,37.2,8.26,52,,171,Airlock
336,Space_Suit,14.6,33.8,15.4,3.8,27,,491,Storage_Bay
337,Battery_Pack,16.8,48.1,39.0,15.76,6,,785,Power_Bay
338,Navigation_Module,28.0,17.0,38.6,9.19,9,,1881,Cockpit
339,Water_Bottle,18.1,25.7,43.6,10.14,25,,4235,Crew_Quarters
