item_id,zone,coordinates
66,Maintenance_Bay,"(39.2,0,348.0),(62.7,18.4,365.6)"
67,Cockpit,"(62.7,0,348.0),(79.7,12.5,393.9)"
68,Greenhouse,"(79.7,0,348.0),(109.6,13.8,361.6)"
69,Lab,"(109.6,0,348.0),(124.5,18.0,359.5)"
70,Engineering_Bay,"(0,0,359.5),(16.8,14.1,370.1)"
71,Crew_Quarters,"(16.8,0,359.5),(66.3,12.3,400.7)"
72,Power_Bay,"(0,0,400.7),(27.0,21.1,441.4)"
73,Engineering_Bay,"(27.0,0,400.7),(45.0,18.4,445.7)"
74,Storage_Bay,"(45.0,0,400.7),(58.2,19.4,420.4)"
75,Cockpit,"(58.2,0,400.7),(77.9,40.4,412.4)"
76,Airlock,"(77.9,0,400.7),(103.1,20.0,446.8)"
77,Engineering_Bay,"(0,20.0,400.7),(36.6,44.7,422.5)"
78,Airlock,"(36.6,20.0,400.7),(47.0,59.1,433.0)"
79,Engineering_Bay,"(47.0,20.0,400.7),(88.9,50.7,432.7)"
80,Command_Center,"(0,50.7,400.7),(50.0,97.9,416.6)"
81,Medical_Bay,"(50.0,50.7,400.7),(76.1,78.6,412.8)"
82,Lab,"(0,0,412.8),(45.6,37.6,423.1)"
83,Command_Center,"(45.6,0,412.8),(81.9,48.9,434.4)"
84,Crew_Quarters,"(0,0,434.4),(12.3,29.1,450.0)"
85,Engineering_Bay,"(12.3,0,434.4),(50.7,23.2,469.6)"
86,Lab,"(50.7,0,434.4),(75.7,29.1,451.8)"
87,Crew_Quarters,"(0,0,451.8),(30.3,40.0,482.3)"
88,Lab,"(0,0,482.3),(19.2,19.0,511.2)"
89,Crew_Quarters,"(19.2,0,482.3),(60.2,42.2,507.4)"
90,Medical_Bay,"(0,0,507.4),(32.4,18.7,545.8)"
91,Engineering_Bay,"(32.4,0,507.4),(42.5,10.6,527.1)"
92,Engineering_Bay,"(42.5,0,507.4),(82.3,49.6,531.6)"
93,Command_Center,"(0,0,531.6),(16.8,32.0,559.5)"
94,Cockpit,"(16.8,0,531.6),(33.2,25.9,571.3)"
95,Storage_Bay,"(33.2,0,531.6),(60.9,17.0,559.4)"
96,Medical_Bay,"(60.9,0,531.6),(81.2,15.1,562.4)"
97,Crew_Quarters,"(0,15.1,531.6),(25.0,57.9,569.9)"
98,Cockpit,"(25.0,15.1,531.6),(74.0,47.4,551.6)"
99,Life_Support,"(0,47.4,531.6),(44.0,66.4,580.6)"
100,Engineering_Bay,"(0,0,580.6),(25.5,11.3,629.2)"
101,Power_Bay,"(25.5,0,580.6),(67.7,28.5,600.9)"
102,Airlock,"(0,28.5,580.6),(15.2,61.2,604.3)"
103,Engine_Bay,"(15.2,28.5,580.6),(45.3,67.8,611.3)"
104,Cockpit,"(45.3,28.5,580.6),(61.1,48.6,619.0)"
105,Storage_Bay,"(61.1,28.5,580.6),(75.2,46.5,607.7)"
106,Power_Bay,"(75.2,28.5,580.6),(91.1,56.1,613.3)"
107,Engineering_Bay,"(0,56.1,580.6),(46.4,98.5,597.9)"
108,Medical_Bay,"(46.4,56.1,580.6),(64.5,82.1,606.7)"
109,Engineering_Bay,"(64.5,56.1,580.6),(82.1,82.3,591.6)"
110,Storage_Bay,"(82.1,56.1,580.6),(123.7,91.6,609.2)"
111,Crew_Quarters,"(0,91.6,580.6),(12.2,102.2,618.8)"
112,Maintenance_Bay,"(12.2,91.6,580.6),(30.0,108.3,596.3)"
113,Engineering_Bay,"(30.0,91.6,580.6),(41.2,132.9,600.2)"
114,Engine_Bay,"(41.2,91.6,580.6),(51.8,129.8,607.7)"
115,Crew_Quarters,"(51.8,91.6,580.6),(63.8,136.5,591.2)"
116,Medical_Bay,"(0,0,591.2),(35.7,42.6,617.4)"
117,Lab,"(35.7,0,591.2),(69.3,46.7,612.7)"
118,Lab,"(0,0,612.7),(20.5,15.6,624.3)"
119,Crew_Quarters,"(20.5,0,612.7),(62.5,15.9,643.0)"
120,Medical_Bay,"(0,0,643.0),(22.6,49.4,675.1)"
121,External_Storage,"(22.6,0,643.0),(48.3,46.1,662.5)"
122,Crew_Quarters,"(48.3,0,643.0),(65.1,15.9,705.2)"
123,Crew_Quarters,"(0,0,705.2),(10.7,24.1,752.7)"
124,Crew_Quarters,"(10.7,0,705.2),(46.1,18.8,752.2)"
125,Maintenance_Bay,"(0,0,752.2),(10.2,24.2,781.6)"
126,Engineering_Bay,"(10.2,0,752.2),(38.3,26.0,801.0)"
127,Crew_Quarters,"(38.3,0,752.2),(67.5,11.6,779.1)"
128,Crew_Quarters,"(0,0,779.1),(15.5,25.7,795.0)"
129,Medical_Bay,"(15.5,0,779.1),(32.5,11.2,803.3)"
130,Storage_Bay,"(32.5,0,779.1),(57.1,28.2,796.5)"
131,Engineering_Bay,"(57.1,0,779.1),(94.1,19.7,805.1)"
132,Storage_Bay,"(0,19.7,779.1),(38.2,45.9,794.6)"
133,Crew_Quarters,"(38.2,19.7,779.1),(52.8,39.7,805.3)"
134,Storage_Bay,"(0,0,805.3),(33.3,12.8,823.2)"
135,Storage_Bay,"(33.3,0,805.3),(67.3,22.8,851.1)"
136,Medical_Bay,"(0,22.8,805.3),(20.9,47.9,880.8)"
137,Storage_Bay,"(20.9,22.8,805.3),(70.6,49.2,852.1)"
138,Medical_Bay,"(0,49.2,805.3),(40.9,89.9,816.7)"
139,Airlock,"(40.9,49.2,805.3),(85.7,81.5,855.0)"
140,Storage_Bay,"(0,81.5,805.3),(28.6,105.1,834.4)"
141,Storage_Bay,"(28.6,81.5,805.3),(49.5,105.1,827.5)"
142,External_Storage,"(49.5,81.5,805.3),(76.1,126.9,824.0)"
143,Crew_Quarters,"(0,0,824.0),(48.2,12.4,859.0)"
144,Life_Support,"(0,0,859.0),(23.8,26.9,884.3)"
145,Lab,"(0,0,884.3),(29.6,36.7,907.7)"
146,Lab,"(29.6,0,884.3),(62.9,14.4,930.8)"
147,Storage_Bay,"(62.9,0,884.3),(91.0,29.2,905.2)"
148,Sanitation_Bay,"(0,29.2,884.3),(29.9,45.4,899.0)"
149,Engineering_Bay,"(0,0,899.0),(16.2,38.2,925.0)"
150,Lab,"(16.2,0,899.0),(31.8,20.5,915.6)"
151,Greenhouse,"(31.8,0,899.0),(53.7,27.6,928.2)"
152,Storage_Bay,"(53.7,0,899.0),(66.0,26.6,927.0)"
153,Sanitation_Bay,"(66.0,0,899.0),(91.4,19.8,915.5)"
154,Lab,"(0,19.8,899.0),(42.4,46.5,926.7)"
155,Maintenance_Bay,"(42.4,19.8,899.0),(61.8,61.1,933.6)"
156,External_Storage,"(61.8,19.8,899.0),(93.4,33.2,910.8)"
157,Storage_Bay,"(0,0,910.8),(18.5,44.8,936.4)"
158,Crew_Quarters,"(18.5,0,910.8),(35.9,33.0,947.2)"
159,Engineering_Bay,"(0,0,947.2),(34.1,26.1,969.4)"
160,Engineering_Bay,"(34.1,0,947.2),(74.8,45.3,964.2)"
161,Airlock,"(0,0,964.2),(48.5,19.9,988.7)"
162,Cockpit,"(48.5,0,964.2),(62.9,11.3,975.1)"
163,Airlock,"(62.9,0,964.2),(94.6,19.7,980.1)"
164,Lab,"(0,19.7,964.2),(26.3,50.0,998.1)"
165,Crew_Quarters,"(26.3,19.7,964.2),(44.1,49.6,1034.4)"
166,Power_Bay,"(0,0,1034.4),(45.6,31.7,1065.4)"
167,Engine_Bay,"(45.6,0,1034.4),(65.9,37.9,1048.1)"
168,Cockpit,"(65.9,0,1034.4),(89.9,43.7,1083.5)"
169,Lab,"(0,0,1083.5),(19.4,18.5,1095.9)"
170,Crew_Quarters,"(19.4,0,1083.5),(46.8,29.8,1100.1)"
171,Engineering_Bay,"(0,0,1100.1),(46.5,32.9,1132.1)"
172,Power_Bay,"(46.5,0,1100.1),(112.8,94.3,1102.5)"
173,Airlock,"(0,0,1102.5),(24.9,13.9,1151.6)"
174,Lab,"(24.9,0,1102.5),(42.8,22.9,1119.9)"
175,Command_Center,"(42.8,0,1102.5),(67.6,36.0,1142.0)"
176,Power_Bay,"(67.6,0,1102.5),(125.0,70.5,1103.8)"
177,Cockpit,"(0,0,1103.8),(16.6,39.5,1150.9)"
178,Greenhouse,"(16.6,0,1103.8),(41.4,26.0,1131.6)"
179,Medical_Bay,"(41.4,0,1103.8),(59.6,24.8,1121.0)"
180,Storage_Bay,"(59.6,0,1103.8),(107.2,23.6,1147.5)"
181,Lab,"(0,23.6,1103.8),(14.5,57.1,1141.2)"
182,Lab,"(14.5,23.6,1103.8),(45.0,41.0,1122.1)"
183,External_Storage,"(45.0,23.6,1103.8),(75.0,39.0,1151.2)"
184,External_Storage,"(0,0,1151.2),(67.7,82.8,1156.0)"
185,Crew_Quarters,"(0,0,1156.0),(49.5,34.3,1182.6)"
186,Storage_Bay,"(0,0,1182.6),(10.3,11.9,1201.9)"
187,Crew_Quarters,"(10.3,0,1182.6),(31.8,13.5,1208.3)"
188,Storage_Bay,"(0,0,1208.3),(28.8,26.1,1221.1)"
189,Storage_Bay,"(28.8,0,1208.3),(54.6,35.8,1228.9)"
190,Power_Bay,"(54.6,0,1208.3),(82.6,49.3,1258.1)"
191,Airlock,"(0,0,1258.1),(31.0,45.9,1296.8)"
192,Engineering_Bay,"(31.0,0,1258.1),(53.5,19.4,1280.8)"
193,Medical_Bay,"(53.5,0,1258.1),(95.2,31.9,1297.5)"
194,Engineering_Bay,"(0,31.9,1258.1),(20.0,59.4,1284.7)"
195,Lab,"(20.0,31.9,1258.1),(37.2,80.6,1275.4)"
196,Storage_Bay,"(37.2,31.9,1258.1),(57.1,65.3,1288.4)"
197,Crew_Quarters,"(57.1,31.9,1258.1),(79.2,73.1,1299.2)"
198,Power_Bay,"(0,0,1299.2),(49.3,33.9,1347.8)"
199,Power_Bay,"(49.3,0,1299.2),(59.9,46.6,1316.3)"
200,Engineering_Bay,"(59.9,0,1299.2),(90.4,24.4,1326.6)"
201,Storage_Bay,"(0,24.4,1299.2),(21.8,68.1,1344.8)"
202,Cockpit,"(21.8,24.4,1299.2),(43.4,35.2,1345.9)"
203,Lab,"(43.4,24.4,1299.2),(59.8,53.5,1349.0)"
204,Lab,"(59.8,24.4,1299.2),(76.3,44.5,1325.8)"
205,Medical_Bay,"(76.3,24.4,1299.2),(106.0,63.0,1346.3)"
206,Engineering_Bay,"(0,0,1346.3),(17.9,40.7,1393.6)"
207,Crew_Quarters,"(17.9,0,1346.3),(42.7,16.9,1363.7)"
208,Maintenance_Bay,"(0,0,1363.7),(23.0,35.8,1378.4)"
209,Engineering_Bay,"(23.0,0,1363.7),(63.5,23.5,1379.7)"
210,Lab,"(0,23.5,1363.7),(10.3,45.0,1378.6)"
211,Command_Center,"(10.3,23.5,1363.7),(41.1,70.5,1391.5)"
212,Crew_Quarters,"(41.1,23.5,1363.7),(60.4,56.1,1393.5)"
213,Life_Support,"(0,0,1393.5),(44.6,21.4,1421.0)"
214,Storage_Bay,"(0,0,1421.0),(27.6,26.0,1436.1)"
215,Maintenance_Bay,"(27.6,0,1421.0),(54.3,44.2,1453.1)"
216,Storage_Bay,"(54.3,0,1421.0),(90.8,42.3,1468.1)"
217,Storage_Bay,"(0,42.3,1421.0),(35.6,61.5,1467.9)"
218,Lab,"(35.6,42.3,1421.0),(53.4,67.0,1467.3)"
219,Lab,"(53.4,42.3,1421.0),(99.9,65.9,1451.7)"
220,Storage_Bay,"(0,0,1451.7),(16.3,28.1,1470.0)"
221,Command_Center,"(16.3,0,1451.7),(59.9,46.0,1475.5)"
222,Medical_Bay,"(0,0,1475.5),(47.9,11.1,1522.3)"
223,Engineering_Bay,"(47.9,0,1475.5),(85.7,25.1,1485.8)"
224,Medical_Bay,"(0,25.1,1475.5),(21.3,52.6,1524.0)"
225,Power_Bay,"(21.3,25.1,1475.5),(33.5,63.4,1516.5)"
226,Maintenance_Bay,"(33.5,25.1,1475.5),(76.5,43.5,1487.5)"
227,Medical_Bay,"(0,43.5,1475.5),(17.1,60.6,1553.6)"
228,Storage_Bay,"(17.1,43.5,1475.5),(50.1,60.0,1507.6)"
229,Airlock,"(50.1,43.5,1475.5),(70.7,59.5,1521.5)"
230,Storage_Bay,"(70.7,43.5,1475.5),(116.5,73.2,1490.6)"
231,Engineering_Bay,"(0,73.2,1475.5),(13.5,117.5,1492.7)"
232,Command_Center,"(13.5,73.2,1475.5),(44.0,97.3,1489.6)"
233,Airlock,"(44.0,73.2,1475.5),(92.3,90.5,1522.7)"
234,Crew_Quarters,"(0,90.5,1475.5),(32.7,131.7,1515.4)"
235,Engineering_Bay,"(0,0,1515.4),(18.6,40.8,1526.0)"
236,Lab,"(18.6,0,1515.4),(29.8,32.7,1551.0)"
237,Engineering_Bay,"(29.8,0,1515.4),(63.2,49.2,1557.2)"
238,Storage_Bay,"(63.2,0,1515.4),(85.1,40.7,1546.8)"
239,Lab,"(0,40.7,1515.4),(13.4,57.6,1553.7)"
240,Engineering_Bay,"(13.4,40.7,1515.4),(47.2,61.7,1547.0)"
241,Lab,"(47.2,40.7,1515.4),(65.2,69.6,1542.1)"
242,Engineering_Bay,"(65.2,40.7,1515.4),(78.1,85.4,1559.8)"
243,Airlock,"(78.1,40.7,1515.4),(104.2,84.1,1540.7)"
244,Lab,"(0,84.1,1515.4),(17.1,98.3,1542.5)"
245,Lab,"(17.1,84.1,1515.4),(54.1,105.5,1539.4)"
246,Crew_Quarters,"(54.1,84.1,1515.4),(69.2,103.5,1552.8)"
247,Crew_Quarters,"(0,0,1552.8),(19.6,43.1,1569.3)"
248,Engineering_Bay,"(19.6,0,1552.8),(47.7,39.1,1582.4)"
249,Life_Support,"(47.7,0,1552.8),(72.3,24.2,1576.4)"
250,Engineering_Bay,"(0,0,1576.4),(45.6,26.3,1588.7)"
251,Airlock,"(45.6,0,1576.4),(73.3,22.8,1619.9)"
252,Storage_Bay,"(0,22.8,1576.4),(49.7,71.6,1589.8)"
253,Engineering_Bay,"(49.7,22.8,1576.4),(68.0,69.8,1587.8)"
254,Airlock,"(68.0,22.8,1576.4),(115.4,56.3,1621.5)"
255,Engineering_Bay,"(0,56.3,1576.4),(46.3,94.9,1600.5)"
256,Lab,"(46.3,56.3,1576.4),(66.1,102.1,1599.9)"
257,Crew_Quarters,"(66.1,56.3,1576.4),(96.4,82.8,1625.3)"
258,Engineering_Bay,"(0,0,1625.3),(45.3,19.1,1639.2)"
259,Lab,"(45.3,0,1625.3),(67.8,29.6,1651.9)"
260,Engineering_Bay,"(67.8,0,1625.3),(104.7,36.9,1668.0)"
261,Medical_Bay,"(0,36.9,1625.3),(45.7,51.5,1664.8)"
262,Crew_Quarters,"(45.7,36.9,1625.3),(82.6,74.3,1661.4)"
263,Lab,"(0,0,1661.4),(23.1,28.4,1690.2)"
264,Lab,"(23.1,0,1661.4),(42.0,36.6,1702.8)"
265,Engineering_Bay,"(42.0,0,1661.4),(70.4,21.6,1701.2)"
266,Storage_Bay,"(70.4,0,1661.4),(83.5,25.3,1676.0)"
267,Storage_Bay,"(83.5,0,1661.4),(106.1,16.7,1673.0)"
268,Crew_Quarters,"(0,16.7,1661.4),(39.0,33.2,1691.1)"
269,Lab,"(0,0,1691.1),(24.2,13.2,1702.2)"
270,Command_Center,"(24.2,0,1691.1),(41.6,26.1,1722.6)"
271,Crew_Quarters,"(41.6,0,1691.1),(69.1,21.5,1720.4)"
272,Storage_Bay,"(0,0,1720.4),(25.8,20.3,1746.4)"
273,Cockpit,"(25.8,0,1720.4),(68.0,37.0,1744.3)"
274,Lab,"(0,37.0,1720.4),(27.7,64.3,1748.9)"
275,Airlock,"(27.7,37.0,1720.4),(54.0,57.7,1768.9)"
276,Command_Center,"(54.0,37.0,1720.4),(68.1,73.5,1769.8)"
277,Storage_Bay,"(68.1,37.0,1720.4),(109.9,83.7,1747.5)"
278,Lab,"(0,83.7,1720.4),(26.6,104.2,1760.9)"
279,Crew_Quarters,"(26.6,83.7,1720.4),(53.3,100.2,1764.3)"
280,Crew_Quarters,"(0,0,1764.3),(44.9,30.1,1778.0)"
281,Medical_Bay,"(0,0,1778.0),(46.7,10.9,1796.1)"
282,Crew_Quarters,"(46.7,0,1778.0),(87.7,35.7,1789.7)"
283,External_Storage,"(0,0,1789.7),(17.7,18.2,1820.3)"
284,Medical_Bay,"(17.7,0,1789.7),(33.6,41.4,1818.6)"
285,Crew_Quarters,"(33.6,0,1789.7),(60.5,49.2,1829.1)"
286,Crew_Quarters,"(0,0,1829.1),(28.7,20.0,1843.7)"
287,Storage_Bay,"(0,0,1843.7),(19.6,16.2,1872.5)"
288,Cockpit,"(19.6,0,1843.7),(59.9,24.7,1876.6)"
289,Engineering_Bay,"(0,24.7,1843.7),(32.9,67.9,1878.6)"
290,Lab,"(32.9,24.7,1843.7),(61.3,47.0,1869.0)"
291,Medical_Bay,"(61.3,24.7,1843.7),(75.2,63.5,1878.4)"
292,Engineering_Bay,"(75.2,24.7,1843.7),(99.0,35.9,1875.5)"
293,Lab,"(0,35.9,1843.7),(35.4,69.2,1859.7)"
294,Medical_Bay,"(35.4,35.9,1843.7),(55.1,61.3,1870.3)"
295,Storage_Bay,"(55.1,35.9,1843.7),(87.1,81.4,1873.4)"
296,Crew_Quarters,"(0,81.4,1843.7),(11.9,119.7,1861.7)"
297,Command_Center,"(11.9,81.4,1843.7),(38.9,103.2,1889.0)"
298,Crew_Quarters,"(38.9,81.4,1843.7),(84.3,93.5,1875.2)"
299,Airlock,"(0,0,1875.2),(34.8,34.2,1918.2)"
300,Medical_Bay,"(34.8,0,1875.2),(49.2,13.8,1898.6)"
301,Engineering_Bay,"(49.2,0,1875.2),(87.0,35.1,1923.1)"
302,Cockpit,"(0,35.1,1875.2),(31.7,78.6,1891.8)"
303,Life_Support,"(31.7,35.1,1875.2),(80.3,79.0,1917.1)"
304,Lab,"(0,0,1917.1),(19.0,32.6,1947.8)"
305,Storage_Bay,"(19.0,0,1917.1),(47.1,28.5,1937.0)"
306,Crew_Quarters,"(47.1,0,1917.1),(73.8,49.6,1939.2)"
307,Engineering_Bay,"(0,0,1939.2),(36.4,13.8,1985.6)"
308,Storage_Bay,"(36.4,0,1939.2),(69.1,18.9,1969.2)"
309,Maintenance_Bay,"(0,18.9,1939.2),(48.7,39.5,1955.7)"
310,External_Storage,"(48.7,18.9,1939.2),(72.6,44.5,1952.8)"
311,Medical_Bay,"(72.6,18.9,1939.2),(93.9,54.1,1974.0)"
312,Maintenance_Bay,"(0,0,1974.0),(27.3,16.4,1999.9)"
313,Engineering_Bay,"(27.3,0,1974.0),(37.9,47.2,1988.4)"
314,Storage_Bay,"(37.9,0,1974.0),(53.2,16.3,2003.0)"
315,Medical_Bay,"(53.2,0,1974.0),(98.1,41.5,1994.6)"
316,Engineering_Bay,"(0,41.5,1974.0),(30.5,86.8,1987.5)"
317,Storage_Bay,"(30.5,41.5,1974.0),(47.7,66.8,1999.8)"
318,Storage_Bay,"(47.7,41.5,1974.0),(64.8,63.6,2003.8)"
319,External_Storage,"(64.8,41.5,1974.0),(109.1,90.3,2014.8)"
320,Crew_Quarters,"(0,0,2014.8),(15.8,23.5,2063.4)"
321,Engineering_Bay,"(15.8,0,2014.8),(38.5,32.3,2042.3)"
322,Power_Bay,"(38.5,0,2014.8),(103.6,59.1,2016.1)"
323,Power_Bay,"(0,0,2016.1),(43.0,43.6,2047.7)"
324,Crew_Quarters,"(43.0,0,2016.1),(87.1,49.8,2047.5)"
325,Crew_Quarters,"(0,0,2047.5),(13.4,36.8,2080.5)"
326,Medical_Bay,"(13.4,0,2047.5),(25.1,19.7,2065.5)"
327,Lab,"(25.1,0,2047.5),(51.1,18.5,2058.4)"
328,Crew_Quarters,"(51.1,0,2047.5),(64.9,21.1,2066.5)"
329,Lab,"(0,0,2066.5),(18.4,40.0,2109.0)"
330,Storage_Bay,"(18.4,0,2066.5),(44.7,20.3,2083.0)"
331,Cockpit,"(44.7,0,2066.5),(57.6,13.9,2084.6)"
332,Crew_Quarters,"(57.6,0,2066.5),(79.8,25.3,2079.4)"
333,Crew_Quarters,"(0,0,2079.4),(32.9,20.9,2096.9)"
334,Medical_Bay,"(0,0,2096.9),(18.0,26.9,2118.1)"
335,Airlock,"(18.0,0,2096.9),(60.7,10.4,2134.1)"
336,Storage_Bay,"(0,10.4,2096.9),(14.6,44.2,2112.3)"
337,Power_Bay,"(14.6,10.4,2096.9),(31.4,58.5,2135.9)"
338,Cockpit,"(31.4,10.4,2096.9),(59.4,27.4,2135.5)"
339,Crew_Quarters,"(59.4,10.4,2096.9),(77.5,36.1,2140.5)"
340,Life_Support,"(0,0,2140.5),(21.7,17.5,2187.5)"
341,Airlock,"(0,17.5,2140.5),(20.1,64.8,2155.4)"
342,Storage_Bay,"(20.1,17.5,2140.5),(33.1,43.5,2179.6)"
343,Life_Support,"(33.1,17.5,2140.5),(80.2,30.3,2151.5)"
344,Storage_Bay,"(0,0,2151.5),(35.0,47.1,2170.5)"
345,Engineering_Bay,"(35.0,0,2151.5),(58.1,44.8,2190.2)"
346,Lab,"(58.1,0,2151.5),(84.8,10.3,2184.8)"
347,Storage_Bay,"(0,10.3,2151.5),(21.2,37.7,2169.6)"
348,Crew_Quarters,"(21.2,10.3,2151.5),(55.3,33.4,2187.3)"
349,Medical_Bay,"(0,0,2187.3),(15.3,15.7,2208.4)"
350,Storage_Bay,"(15.3,0,2187.3),(34.6,14.1,2201.4)"
351,Engineering_Bay,"(34.6,0,2187.3),(46.9,37.6,2228.3)"
352,Crew_Quarters,"(46.9,0,2187.3),(57.6,21.6,2227.5)"
353,Crew_Quarters,"(0,0,2227.5),(15.9,26.6,2257.3)"
354,Medical_Bay,"(15.9,0,2227.5),(27.3,37.5,2266.9)"
355,Storage_Bay,"(27.3,0,2227.5),(73.3,45.4,2256.5)"
356,Sanitation_Bay,"(0,45.4,2227.5),(25.3,63.3,2238.7)"
357,Storage_Bay,"(0,0,2238.7),(39.2,34.7,2249.0)"
358,Power_Bay,"(39.2,0,2238.7),(59.6,48.8,2260.3)"
359,Lab,"(59.6,0,2238.7),(84.1,30.7,2275.2)"
360,Sanitation_Bay,"(0,0,2275.2),(25.9,20.4,2295.0)"
361,Power_Bay,"(0,20.4,2275.2),(30.8,56.9,2316.1)"
362,Greenhouse,"(30.8,20.4,2275.2),(44.3,37.1,2298.9)"
363,Medical_Bay,"(44.3,20.4,2275.2),(71.6,35.3,2305.2)"
364,Storage_Bay,"(71.6,20.4,2275.2),(104.4,64.1,2288.2)"
365,Storage_Bay,"(0,64.1,2275.2),(11.7,89.2,2324.3)"
366,Power_Bay,"(11.7,64.1,2275.2),(49.9,77.9,2289.4)"
367,Engineering_Bay,"(49.9,64.1,2275.2),(64.7,85.7,2290.1)"
368,Lab,"(64.7,64.1,2275.2),(78.4,80.9,2297.8)"
369,Storage_Bay,"(78.4,64.1,2275.2),(96.9,97.6,2300.7)"
370,Command_Center,"(0,97.6,2275.2),(39.3,139.1,2295.0)"
371,Crew_Quarters,"(39.3,97.6,2275.2),(57.1,114.0,2296.3)"
