item_id,zone,container_id,coordinates
32,Lab,L02,"(0,0,0),(35.8,19.8,41.4)"
33,Crew_Quarters,CQ02,"(0,16.6,0),(21.3,34.3,15.2)"
34,Crew_Quarters,CQ03,"(37.6,0,0),(87.6,34.7,29.9)"
35,External_Storage,ES02,"(0,0,0),(26.2,46.8,27.3)"
36,Crew_Quarters,CQ02,"(21.3,16.6,0),(63.8,62.8,49.4)"
37,Lab,L03,"(0,0,0),(14.3,13.2,39.5)"
38,Crew_Quarters,CQ01,"(0,0,33.9),(22.2,28.5,60.3)"
39,Lab,L04,"(0,0,0),(18.9,19.6,29.8)"
40,External_Storage,ES03,"(0,0,0),(30.4,49.7,14.4)"
41,Storage_Bay,TA03,"(0,0,14.9),(40.4,30.9,62.8)"
42,Storage_Bay,TA02,"(49.0,0,0),(90.8,41.0,41.5)"
43,Storage_Bay,TA01,"(0,47.6,0),(35.2,88.8,43.0)"
44,Command_Center,CC02,"(0,0,0),(46.6,20.1,13.9)"
45,Airlock,A03,"(41.7,0,0),(57.2,45.8,22.7)"
46,Storage_Bay,TA02,"(0,41.0,0),(10.8,78.6,30.4)"
47,Storage_Bay,TA01,"(35.2,47.6,0),(78.2,82.4,28.7)"
48,Cockpit,C01,"(0,0,0),(15.9,38.0,28.6)"
49,Crew_Quarters,CQ04,"(38.2,0,0),(49.8,26.1,23.8)"
50,Storage_Bay,TA02,"(10.8,41.0,0),(24.6,66.9,19.1)"
51,Lab,L01,"(10.8,0,0),(28.0,20.4,26.8)"
52,Storage_Bay,TA02,"(24.6,41.0,0),(59.3,55.8,38.4)"
53,Engineering_Bay,EB02,"(11.0,0,10.0),(54.1,48.2,40.5)"
54,Cockpit,C02,"(0,0,0),(12.1,24.3,37.7)"
55,Medical_Bay,EA02,"(17.6,0,0),(39.2,15.4,10.1)"
56,Medical_Bay,EA02,"(39.2,0,0),(64.0,18.5,55.6)"
57,Engineering_Bay,EB01,"(33.9,0,0),(52.5,12.0,48.4)"
58,Engineering_Bay,EB01,"(52.5,0,0),(70.4,16.3,25.8)"
59,Storage_Bay,TA02,"(59.3,41.0,0),(96.6,60.7,42.7)"
60,External_Storage,ES04,"(0,0,0),(48.4,17.5,11.3)"
61,Lab,L03,"(14.3,0,0),(35.9,14.9,16.2)"
62,Storage_Bay,TA01,"(0,82.4,0),(49.3,128.5,28.5)"
63,Engineering_Bay,EB01,"(70.4,0,0),(119.8,22.0,44.8)"
64,Cockpit,C03,"(0,0,0),(44.3,43.3,15.1)"
65,Lab,L04,"(18.9,0,0),(58.1,49.3,36.2)"
66,Maintenance_Bay,MB04,"(0,0,0),(23.5,18.4,17.6)"
67,Cockpit,C04,"(0,0,0),(17.0,12.5,45.9)"
68,Greenhouse,G02,"(0,0,0),(29.9,13.8,13.6)"
69,Lab,L03,"(35.9,0,0),(50.8,18.0,11.5)"
70,Engineering_Bay,EB02,"(0,0,40.5),(16.8,14.1,51.1)"
71,Crew_Quarters,CQ04,"(49.8,0,0),(99.3,12.3,41.2)"
72,Power_Bay,PB01,"(0,0,0),(27.0,21.1,40.7)"
73,Engineering_Bay,EB02,"(0,14.1,40.5),(18.0,32.5,85.5)"
74,Storage_Bay,TA02,"(0,60.7,0),(13.2,80.1,19.7)"
75,Cockpit,C05,"(0,0,0),(19.7,40.4,11.7)"
76,Airlock,A03,"(57.2,0,0),(82.4,20.0,46.1)"
77,Engineering_Bay,EB02,"(0,32.5,40.5),(36.6,57.2,62.3)"
78,Airlock,A02,"(32.7,0,0),(43.1,39.1,32.3)"
79,Engineering_Bay,EB01,"(0,22.0,0),(41.9,52.7,32.0)"
80,Command_Center,CC03,"(0,0,0),(50.0,47.2,15.9)"
81,Medical_Bay,EA01,"(15.6,0,0),(41.7,27.9,12.1)"
82,Lab,L01,"(28.0,0,0),(73.6,37.6,10.3)"
83,Command_Center,CC02,"(46.6,0,0),(82.9,48.9,21.6)"
84,Crew_Quarters,CQ01,"(22.2,0,33.9),(34.5,29.1,49.5)"
85,Engineering_Bay,EB02,"(0,57.2,40.5),(38.4,80.4,75.7)"
86,Lab,L03,"(50.8,0,0),(75.8,29.1,17.4)"
87,Crew_Quarters,CQ01,"(34.5,0,33.9),(64.8,40.0,64.4)"
88,Lab,L03,"(0,29.1,0),(19.2,48.1,28.9)"
89,Crew_Quarters,CQ04,"(0,12.3,0),(41.0,54.5,25.1)"
90,Medical_Bay,EA03,"(20.4,0,0),(52.8,18.7,38.4)"
91,Engineering_Bay,EB02,"(0,0,75.7),(10.1,10.6,95.4)"
92,Engineering_Bay,EB01,"(41.9,22.0,0),(81.7,71.6,24.2)"
93,Command_Center,CC01,"(11.5,0,0),(28.3,32.0,27.9)"
94,Cockpit,C05,"(19.7,0,0),(36.1,25.9,39.7)"
95,Storage_Bay,TA02,"(13.2,60.7,0),(40.9,77.7,27.8)"
96,Medical_Bay,EA01,"(41.7,0,0),(62.0,15.1,30.8)"
97,Crew_Quarters,CQ03,"(0,34.7,0),(25.0,77.5,38.3)"
98,Cockpit,C04,"(0,12.5,0),(49.0,44.8,20.0)"
99,Life_Support,LS03,"(0,0,0),(44.0,19.0,49.0)"
100,Engineering_Bay,EB02,"(10.1,0,75.7),(35.6,11.3,124.3)"
101,Power_Bay,PB02,"(0,0,0),(42.2,28.5,20.3)"
102,Airlock,A03,"(0,20.0,0),(15.2,52.7,23.7)"
103,Engine_Bay,NA02,"(0,0,0),(30.1,39.3,30.7)"
104,Cockpit,C02,"(12.1,0,0),(27.9,20.1,38.4)"
105,Storage_Bay,TA02,"(40.9,60.7,0),(55.0,78.7,27.1)"
106,Power_Bay,PB03,"(0,0,0),(15.9,27.6,32.7)"
107,Engineering_Bay,EB02,"(0,11.3,75.7),(46.4,53.7,93.0)"
108,Medical_Bay,EA01,"(62.0,0,0),(80.1,26.0,26.1)"
109,Engineering_Bay,EB01,"(0,0,24.2),(17.6,26.2,35.2)"
110,Storage_Bay,TA02,"(55.0,60.7,0),(96.6,96.2,28.6)"
111,Crew_Quarters,CQ01,"(0,0,64.4),(12.2,10.6,102.6)"
112,Maintenance_Bay,MB04,"(23.5,0,0),(41.3,16.7,15.7)"
113,Engineering_Bay,EB02,"(0,0,93.0),(11.2,41.3,112.6)"
114,Engine_Bay,NA03,"(0,0,0),(10.6,38.2,27.1)"
115,Crew_Quarters,CQ01,"(12.2,0,64.4),(24.2,44.9,75.0)"
116,Medical_Bay,EA02,"(64.0,0,0),(99.7,42.6,26.2)"
117,Lab,L02,"(35.8,0,0),(69.4,46.7,21.5)"
118,Lab,L01,"(0,0,10.3),(20.5,15.6,21.9)"
119,Crew_Quarters,CQ01,"(24.2,0,64.4),(66.2,15.9,94.7)"
120,Medical_Bay,EA03,"(52.8,0,0),(75.4,49.4,32.1)"
121,External_Storage,ES04,"(0,17.5,0),(25.7,63.6,19.5)"
122,Crew_Quarters,CQ04,"(41.0,12.3,0),(57.8,28.2,62.2)"
123,Crew_Quarters,CQ01,"(0,0,94.7),(10.7,24.1,142.2)"
124,Crew_Quarters,CQ03,"(25.0,34.7,0),(60.4,53.5,47.0)"
125,Maintenance_Bay,MB04,"(41.3,0,0),(51.5,24.2,29.4)"
126,Engineering_Bay,EB01,"(17.6,0,24.2),(45.7,26.0,73.0)"
127,Crew_Quarters,CQ04,"(57.8,12.3,0),(87.0,23.9,26.9)"
128,Crew_Quarters,CQ02,"(0,62.8,0),(15.5,88.5,15.9)"
129,Medical_Bay,EA01,"(80.1,0,0),(97.1,11.2,24.2)"
130,Storage_Bay,TA01,"(49.3,82.4,0),(73.9,110.6,17.4)"
131,Engineering_Bay,EB02,"(11.2,0,93.0),(48.2,19.7,119.0)"
132,Storage_Bay,TA01,"(73.9,82.4,0),(112.1,108.6,15.5)"
133,Crew_Quarters,CQ04,"(0,23.9,0),(14.6,43.9,26.2)"
134,Storage_Bay,TA02,"(0,0,28.6),(33.3,12.8,46.5)"
135,Storage_Bay,TA01,"(0,108.6,0),(34.0,131.4,45.8)"
136,Medical_Bay,EA01,"(0,11.2,0),(20.9,36.3,75.5)"
137,Storage_Bay,TA02,"(33.3,0,28.6),(83.0,26.4,75.4)"
138,Medical_Bay,EA02,"(0,0,26.2),(40.9,40.7,37.6)"
139,Airlock,A01,"(48.1,0,0),(92.9,32.3,49.7)"
140,Storage_Bay,TA01,"(34.0,108.6,0),(62.6,132.2,29.1)"
141,Storage_Bay,TA01,"(62.6,108.6,0),(83.5,132.2,22.2)"
142,External_Storage,ES01,"(23.2,0,0),(49.8,45.4,18.7)"
143,Crew_Quarters,CQ01,"(10.7,0,94.7),(58.9,12.4,129.7)"
144,Life_Support,LS04,"(0,0,0),(23.8,26.9,25.3)"
145,Lab,L01,"(20.5,0,10.3),(50.1,36.7,33.7)"
146,Lab,L03,"(19.2,29.1,0),(52.5,43.5,46.5)"
147,Storage_Bay,TA02,"(0,26.4,28.6),(28.1,55.6,49.5)"
148,Sanitation_Bay,SB01,"(0,0,0),(29.9,16.2,14.7)"
149,Engineering_Bay,EB02,"(0,19.7,93.0),(16.2,57.9,119.0)"
150,Lab,L01,"(50.1,0,10.3),(65.7,20.5,26.9)"
151,Greenhouse,G03,"(0,0,0),(21.9,27.6,29.2)"
152,Storage_Bay,TA01,"(0,132.2,0),(12.3,158.8,28.0)"
153,Sanitation_Bay,SB02,"(0,0,0),(25.4,19.8,16.5)"
154,Lab,L03,"(52.5,29.1,0),(94.9,55.8,27.7)"
155,Maintenance_Bay,MB02,"(27.6,0,0),(47.0,41.3,34.6)"
156,External_Storage,ES03,"(30.4,0,0),(62.0,13.4,11.8)"
157,Storage_Bay,TA01,"(12.3,132.2,0),(30.8,177.0,25.6)"
158,Crew_Quarters,CQ02,"(15.5,62.8,0),(32.9,95.8,36.4)"
159,Engineering_Bay,EB02,"(0,0,119.0),(34.1,26.1,141.2)"
160,Engineering_Bay,EB02,"(0,26.1,119.0),(40.7,71.4,136.0)"
161,Airlock,A02,"(43.1,0,0),(91.6,19.9,24.5)"
162,Cockpit,C01,"(15.9,0,0),(30.3,11.3,10.9)"
163,Airlock,A03,"(15.2,20.0,0),(46.9,39.7,15.9)"
164,Lab,L02,"(0,0,21.5),(26.3,30.3,55.4)"
165,Crew_Quarters,CQ04,"(14.6,23.9,0),(32.4,53.8,70.2)"
166,Power_Bay,PB04,"(0,0,0),(45.6,31.7,31.0)"
167,Engine_Bay,NA03,"(10.6,0,0),(30.9,37.9,13.7)"
168,Cockpit,C01,"(30.3,0,0),(54.3,43.7,49.1)"
169,Lab,L01,"(65.7,0,10.3),(85.1,18.5,22.7)"
170,Crew_Quarters,CQ03,"(60.4,34.7,0),(87.8,64.5,16.6)"
171,Engineering_Bay,EB02,"(0,0,136.0),(46.5,32.9,168.0)"
172,Power_Bay,PB05,"(0,0,0),(66.3,94.3,2.4)"
173,Airlock,A03,"(46.9,20.0,0),(71.8,33.9,49.1)"
174,Lab,L01,"(0,0,22.7),(17.9,22.9,40.1)"
175,Command_Center,CC01,"(28.3,0,0),(53.1,36.0,39.5)"
176,Power_Bay,PB03,"(15.9,0,0),(73.3,70.5,1.3)"
177,Cockpit,C02,"(27.9,0,0),(44.5,39.5,47.1)"
178,Greenhouse,G04,"(0,0,0),(24.8,26.0,27.8)"
179,Medical_Bay,EA03,"(75.4,0,0),(93.6,24.8,17.2)"
180,Storage_Bay,TA02,"(28.1,26.4,28.6),(75.7,50.0,72.3)"
181,Lab,L01,"(17.9,0,22.7),(32.4,33.5,60.1)"
182,Lab,L04,"(58.1,0,0),(88.6,17.4,18.3)"
183,External_Storage,ES03,"(62.0,0,0),(92.0,15.4,47.4)"
184,External_Storage,ES04,"(0,0,19.5),(67.7,82.8,24.3)"
185,Crew_Quarters,CQ01,"(0,0,129.7),(49.5,34.3,156.3)"
186,Storage_Bay,TA01,"(30.8,132.2,0),(41.1,144.1,19.3)"
187,Crew_Quarters,CQ02,"(0,95.8,0),(21.5,109.3,25.7)"
188,Storage_Bay,TA01,"(41.1,132.2,0),(69.9,158.3,12.8)"
189,Storage_Bay,TA01,"(69.9,132.2,0),(95.7,168.0,20.6)"
190,Power_Bay,PB05,"(66.3,0,0),(94.3,49.3,49.8)"
191,Airlock,A02,"(0,19.9,0),(31.0,65.8,38.7)"
192,Engineering_Bay,EB02,"(0,32.9,136.0),(22.5,52.3,158.7)"
193,Medical_Bay,EA03,"(0,24.8,0),(41.7,56.7,39.4)"
194,Engineering_Bay,EB02,"(0,52.3,136.0),(20.0,79.8,162.6)"
195,Lab,L02,"(26.3,0,21.5),(43.5,48.7,38.8)"
196,Storage_Bay,TA01,"(0,0,20.6),(19.9,33.4,50.9)"
197,Crew_Quarters,CQ02,"(21.5,95.8,0),(43.6,137.0,41.1)"
198,Power_Bay,PB03,"(0,0,1.3),(49.3,33.9,49.9)"
199,Power_Bay,PB01,"(27.0,0,0),(37.6,46.6,17.1)"
200,Engineering_Bay,EB02,"(0,0,162.6),(30.5,24.4,190.0)"
201,Storage_Bay,TA02,"(0,50.0,28.6),(21.8,93.7,74.2)"
202,Cockpit,C05,"(36.1,0,0),(57.7,10.8,46.7)"
203,Lab,L04,"(88.6,0,0),(105.0,29.1,49.8)"
204,Lab,L03,"(0,55.8,0),(16.5,75.9,26.6)"
205,Medical_Bay,EA01,"(20.9,11.2,0),(50.6,49.8,47.1)"
206,Engineering_Bay,EB02,"(0,24.4,162.6),(17.9,65.1,209.9)"
207,Crew_Quarters,CQ03,"(0,0,16.6),(24.8,16.9,34.0)"
208,Maintenance_Bay,MB04,"(51.5,0,0),(74.5,35.8,14.7)"
209,Engineering_Bay,EB01,"(45.7,0,24.2),(86.2,23.5,40.2)"
210,Lab,L01,"(32.4,0,22.7),(42.7,21.5,37.6)"
211,Command_Center,CC03,"(50.0,0,0),(80.8,47.0,27.8)"
212,Crew_Quarters,CQ03,"(24.8,0,16.6),(44.1,32.6,46.4)"
213,Life_Support,LS05,"(0,0,0),(44.6,21.4,27.5)"
214,Storage_Bay,TA01,"(19.9,0,20.6),(47.5,26.0,35.7)"
215,Maintenance_Bay,MB04,"(74.5,0,0),(101.2,44.2,32.1)"
216,Storage_Bay,TA01,"(47.5,0,20.6),(84.0,42.3,67.7)"
217,Storage_Bay,TA02,"(21.8,50.0,28.6),(57.4,69.2,75.5)"
218,Lab,L01,"(42.7,0,22.7),(60.5,24.7,69.0)"
219,Lab,L03,"(16.5,55.8,0),(63.0,79.4,30.7)"
220,Storage_Bay,TA02,"(57.4,50.0,28.6),(73.7,78.1,46.9)"
221,Command_Center,CC02,"(0,48.9,0),(43.6,94.9,23.8)"
222,Medical_Bay,EA02,"(40.9,0,26.2),(88.8,11.1,73.0)"
223,Engineering_Bay,EB01,"(0,23.5,24.2),(37.8,48.6,34.5)"
224,Medical_Bay,EA02,"(0,0,73.0),(21.3,27.5,121.5)"
225,Power_Bay,PB02,"(42.2,0,0),(54.4,38.3,41.0)"
226,Maintenance_Bay,MB02,"(47.0,0,0),(90.0,18.4,12.0)"
227,Medical_Bay,EA03,"(41.7,24.8,0),(58.8,41.9,78.1)"
228,Storage_Bay,TA02,"(73.7,50.0,28.6),(106.7,66.5,60.7)"
229,Airlock,A03,"(71.8,20.0,0),(92.4,36.0,46.0)"
230,Storage_Bay,TA01,"(0,42.3,20.6),(45.8,72.0,35.7)"
231,Engineering_Bay,EB01,"(37.8,23.5,24.2),(51.3,67.8,41.4)"
232,Command_Center,CC01,"(53.1,0,0),(83.6,24.1,14.1)"
233,Airlock,A03,"(0,36.0,0),(48.3,53.3,47.2)"
234,Crew_Quarters,CQ04,"(32.4,23.9,0),(65.1,65.1,39.9)"
235,Engineering_Bay,EB01,"(51.3,23.5,24.2),(69.9,64.3,34.8)"
236,Lab,L02,"(43.5,0,21.5),(54.7,32.7,57.1)"
237,Engineering_Bay,EB01,"(69.9,23.5,24.2),(103.3,72.7,66.0)"
238,Storage_Bay,TA02,"(0,66.5,28.6),(21.9,107.2,60.0)"
239,Lab,L04,"(105.0,0,0),(118.4,16.9,38.3)"
240,Engineering_Bay,EB01,"(0,0,66.0),(33.8,21.0,97.6)"
241,Lab,L02,"(54.7,0,21.5),(72.7,28.9,48.2)"
242,Engineering_Bay,EB01,"(33.8,0,66.0),(46.7,44.7,110.4)"
243,Airlock,A01,"(0,32.3,0),(26.1,75.7,25.3)"
244,Lab,L01,"(60.5,0,22.7),(77.6,14.2,49.8)"
245,Lab,L04,"(118.4,0,0),(155.4,21.4,24.0)"
246,Crew_Quarters,CQ03,"(44.1,0,16.6),(59.2,19.4,54.0)"
247,Crew_Quarters,CQ01,"(0,0,156.3),(19.6,43.1,172.8)"
248,Engineering_Bay,EB01,"(46.7,0,66.0),(74.8,39.1,95.6)"
249,Life_Support,LS04,"(23.8,0,0),(48.4,24.2,23.6)"
250,Engineering_Bay,EB01,"(0,39.1,66.0),(45.6,65.4,78.3)"
251,Airlock,A02,"(31.0,19.9,0),(58.7,42.7,43.5)"
252,Storage_Bay,TA01,"(45.8,42.3,20.6),(95.5,91.1,34.0)"
253,Engineering_Bay,EB01,"(45.6,39.1,66.0),(63.9,86.1,77.4)"
254,Airlock,A03,"(48.3,36.0,0),(95.7,69.5,45.1)"
255,Engineering_Bay,EB01,"(63.9,39.1,66.0),(110.2,77.7,90.1)"
256,Lab,L01,"(77.6,0,22.7),(97.4,45.8,46.2)"
257,Crew_Quarters,CQ02,"(0,0,41.1),(30.3,26.5,90.0)"
258,Engineering_Bay,EB01,"(0,0,90.1),(45.3,19.1,104.0)"
259,Lab,L02,"(72.7,0,21.5),(95.2,29.6,48.1)"
260,Engineering_Bay,EB01,"(45.3,0,90.1),(82.2,36.9,132.8)"
261,Medical_Bay,EA01,"(50.6,11.2,0),(96.3,25.8,39.5)"
262,Crew_Quarters,CQ03,"(59.2,0,16.6),(96.1,37.4,52.7)"
263,Lab,L03,"(0,0,30.7),(23.1,28.4,59.5)"
264,Lab,L04,"(155.4,0,0),(174.3,36.6,41.4)"
265,Engineering_Bay,EB01,"(0,36.9,90.1),(28.4,58.5,129.9)"
266,Storage_Bay,TA02,"(21.9,66.5,28.6),(35.0,91.8,43.2)"
267,Storage_Bay,TA02,"(35.0,66.5,28.6),(57.6,83.2,40.2)"
268,Crew_Quarters,CQ01,"(19.6,0,156.3),(58.6,16.5,186.0)"
269,Lab,L01,"(0,0,46.2),(24.2,13.2,57.3)"
270,Command_Center,CC03,"(0,0,27.8),(17.4,26.1,59.3)"
271,Crew_Quarters,CQ04,"(65.1,23.9,0),(92.6,45.4,29.3)"
272,Storage_Bay,TA02,"(57.6,66.5,28.6),(83.4,86.8,54.6)"
273,Cockpit,C03,"(44.3,0,0),(86.5,37.0,23.9)"
274,Lab,L02,"(0,29.6,21.5),(27.7,56.9,50.0)"
275,Airlock,A01,"(26.1,32.3,0),(52.4,53.0,48.5)"
276,Command_Center,CC01,"(0,24.1,0),(14.1,60.6,49.4)"
277,Storage_Bay,TA02,"(0,0,54.6),(41.8,46.7,81.7)"
278,Lab,L01,"(24.2,0,46.2),(50.8,20.5,86.7)"
279,Crew_Quarters,CQ01,"(0,0,186.0),(26.7,16.5,229.9)"
280,Crew_Quarters,CQ02,"(0,26.5,41.1),(44.9,56.6,54.8)"
281,Medical_Bay,EA02,"(21.3,0,73.0),(68.0,10.9,91.1)"
282,Crew_Quarters,CQ04,"(0,45.4,0),(41.0,81.1,11.7)"
283,External_Storage,ES02,"(26.2,0,0),(43.9,18.2,30.6)"
284,Medical_Bay,EA02,"(0,0,91.1),(15.9,41.4,120.0)"
285,Crew_Quarters,CQ01,"(0,0,229.9),(26.9,49.2,269.3)"
286,Crew_Quarters,CQ03,"(0,37.4,16.6),(28.7,57.4,31.2)"
287,Storage_Bay,TA01,"(0,91.1,20.6),(19.6,107.3,49.4)"
288,Cockpit,C05,"(57.7,0,0),(98.0,24.7,32.9)"
289,Engineering_Bay,EB01,"(28.4,36.9,90.1),(61.3,80.1,125.0)"
290,Lab,L03,"(23.1,0,30.7),(51.5,22.3,56.0)"
291,Medical_Bay,EA03,"(58.8,24.8,0),(72.7,63.6,34.7)"
292,Engineering_Bay,EB01,"(61.3,36.9,90.1),(85.1,48.1,121.9)"
293,Lab,L03,"(51.5,0,30.7),(86.9,33.3,46.7)"
294,Medical_Bay,EA01,"(0,25.8,0),(19.7,51.2,26.6)"
295,Storage_Bay,TA01,"(19.6,91.1,20.6),(51.6,136.6,50.3)"
296,Crew_Quarters,CQ02,"(0,56.6,41.1),(11.9,94.9,59.1)"
297,Command_Center,CC03,"(17.4,0,27.8),(44.4,21.8,73.1)"
298,Crew_Quarters,CQ03,"(28.7,37.4,16.6),(74.1,49.5,48.1)"
299,Airlock,A02,"(58.7,19.9,0),(93.5,54.1,43.0)"
300,Medical_Bay,EA02,"(15.9,0,91.1),(30.3,13.8,114.5)"
301,Engineering_Bay,EB01,"(0,48.1,90.1),(37.8,83.2,138.0)"
302,Cockpit,C04,"(0,0,20.0),(31.7,43.5,36.6)"
303,Life_Support,LS02,"(0,22.4,0),(48.6,66.3,41.9)"
304,Lab,L02,"(27.7,29.6,21.5),(46.7,62.2,52.2)"
305,Storage_Bay,TA02,"(41.8,0,54.6),(69.9,28.5,74.5)"
306,Crew_Quarters,CQ02,"(11.9,56.6,41.1),(38.6,106.2,63.2)"
307,Engineering_Bay,EB01,"(37.8,48.1,90.1),(74.2,61.9,136.5)"
308,Storage_Bay,TA01,"(51.6,91.1,20.6),(84.3,110.0,50.6)"
309,Maintenance_Bay,MB02,"(0,18.4,0),(48.7,39.0,16.5)"
310,External_Storage,ES01,"(49.8,0,0),(73.7,25.6,13.6)"
311,Medical_Bay,EA03,"(72.7,24.8,0),(94.0,60.0,34.8)"
312,Maintenance_Bay,MB02,"(48.7,18.4,0),(76.0,34.8,25.9)"
313,Engineering_Bay,EB01,"(0,61.9,90.1),(10.6,109.1,104.5)"
314,Storage_Bay,TA02,"(69.9,0,54.6),(85.2,16.3,83.6)"
315,Medical_Bay,EA02,"(30.3,0,91.1),(75.2,41.5,111.7)"
316,Engineering_Bay,EB01,"(10.6,61.9,90.1),(41.1,107.2,103.6)"
317,Storage_Bay,TA01,"(0,110.0,20.6),(17.2,135.3,46.4)"
318,Storage_Bay,TA02,"(0,16.3,54.6),(17.1,38.4,84.4)"
319,External_Storage,ES02,"(43.9,0,0),(88.2,48.8,40.8)"
320,Crew_Quarters,CQ04,"(41.0,45.4,0),(56.8,68.9,48.6)"
321,Engineering_Bay,EB01,"(41.1,61.9,90.1),(63.8,94.2,117.6)"
322,Power_Bay,PB01,"(37.6,0,0),(102.7,59.1,1.3)"
323,Power_Bay,PB01,"(0,0,1.3),(43.0,43.6,32.9)"
324,Crew_Quarters,CQ03,"(0,49.5,16.6),(44.1,99.3,48.0)"
325,Crew_Quarters,CQ04,"(56.8,45.4,0),(70.2,82.2,33.0)"
326,Medical_Bay,EA01,"(19.7,25.8,0),(31.4,45.5,18.0)"
327,Lab,L04,"(174.3,0,0),(200.3,18.5,10.9)"
328,Crew_Quarters,CQ02,"(0,106.2,41.1),(13.8,127.3,60.1)"
329,Lab,L01,"(50.8,0,46.2),(69.2,40.0,88.7)"
330,Storage_Bay,TA01,"(17.2,110.0,20.6),(43.5,130.3,37.1)"
331,Cockpit,C02,"(0,39.5,0),(12.9,53.4,18.1)"
332,Crew_Quarters,CQ04,"(70.2,45.4,0),(92.4,70.7,12.9)"
333,Crew_Quarters,CQ02,"(13.8,106.2,41.1),(46.7,127.1,58.6)"
334,Medical_Bay,EA01,"(31.4,25.8,0),(49.4,52.7,21.2)"
335,Airlock,A01,"(52.4,32.3,0),(95.1,42.7,37.2)"
336,Storage_Bay,TA02,"(17.1,16.3,54.6),(31.7,50.1,70.0)"
337,Power_Bay,PB02,"(54.4,0,0),(71.2,48.1,39.0)"
338,Cockpit,C02,"(12.9,39.5,0),(40.9,56.5,38.6)"
339,Crew_Quarters,CQ01,"(0,0,269.3),(18.1,25.7,312.9)"
340,Life_Support,LS01,"(0,13.0,0),(21.7,30.5,47.0)"
341,Airlock,A01,"(0,42.7,0),(20.1,90.0,14.9)"
342,Storage_Bay,TA01,"(43.5,110.0,20.6),(56.5,136.0,59.7)"
343,Life_Support,LS05,"(44.6,0,0),(91.7,12.8,11.0)"
344,Storage_Bay,TA02,"(31.7,16.3,54.6),(66.7,63.4,73.6)"
345,Engineering_Bay,EB01,"(63.8,61.9,90.1),(86.9,106.7,128.8)"
346,Lab,L04,"(0,18.5,0),(26.7,28.8,33.3)"
347,Storage_Bay,TA01,"(56.5,110.0,20.6),(77.7,137.4,38.7)"
348,Crew_Quarters,CQ04,"(0,0,12.9),(34.1,23.1,48.7)"
349,Medical_Bay,EA01,"(49.4,25.8,0),(64.7,41.5,21.1)"
350,Storage_Bay,TA01,"(77.7,110.0,20.6),(97.0,124.1,34.7)"
351,Engineering_Bay,EB01,"(0,0,128.8),(12.3,37.6,169.8)"
352,Crew_Quarters,CQ02,"(0,127.1,41.1),(10.7,148.7,81.3)"
353,Crew_Quarters,CQ02,"(10.7,127.1,41.1),(26.6,153.7,70.9)"
354,Medical_Bay,EA01,"(64.7,25.8,0),(76.1,63.3,39.4)"
355,Storage_Bay,TA01,"(0,124.1,20.6),(46.0,169.5,49.6)"
356,Sanitation_Bay,SB03,"(0,0,0),(25.3,17.9,11.2)"
357,Storage_Bay,TA02,"(0,0,73.6),(39.2,34.7,83.9)"
